The user is then taken to the View/Update Item screen 3.5.,1;;;
Alternatively, a donor may go directly to the receiving dock, in which case a new acquisition is created by the Receiving Associate before items can be received and processed.,1;;;
The screens used for the acquisition process should simplify and expedite the data entry process, allowing the Receiving Associate to enter only the information needed to generate the donation receipt.,1;;;
Additional attributes needed to complete the item information and effectively add the item to the inventory can be added at a second step, after the receipt has been printed and the donor has been served.,1;;;
The Receiving Associate can print temporary acquisition labels for items that require further processing.,1;;;
Pick Up and Decon crews may also initiate the receiving process, entering as much detailed information about the donated items as desired, and generating a donation receipt.,0;;;
They cannot, however, add items to the inventory or complete the acquisition process.,1;;;
A Receiving Associate is required to review all the acquisition information before those actions can take place.,0;;;
1. Donor or Primary Contact arrives at receiving dock with a valid donation number 2.,0;;;
Receiving Associate locates donation request in the system (see View Acquisitions),1;;;
3. System displays donation request information,1;;;
4. Receiving Associate enters information about each donated item into the donation request (see Add Item to Inventory) 4.1.,1;;;
A new item can be added to the list by cloning an existing item 4.2.,1;;;
A new item can be added by clicking the Add Item button,0;;;
The MMF launched a project to establish an electronic money market environment in South Africa.,0;;;
UNEXcor and STRATE tendered for the dematerialisation and settlement of money market instruments and in September 2002, the MMF appointed UNEXcor as the service provider.,0;;;
Pursuant to the appointment of UNEXcor as the service provider of the dematerialisation and settlement of money market instruments an agreement to merge STRATE and UNEXcor has been reached effective from 01 August 2003.,0;;;
The new entity, hereinafter referred to as STRATE, will provide the services as originally tendered by UNEXcor.,0;;;
The JSE is a paid-up member of the Association of National Numbering Agents (ANNA), i.e.,0;;;
an authorised National Numbering Agent (NNA) - an entity authorised to issue ISINs in accordance with ISO and ANNA rules and guidelines.,0;;;
In terms of the requirements of ANNA, only one NNA may be authorised per country.,0;;;
The JSE issues and disseminates ISINs for equities when a new equity is loaded in the mainframe programme - EQUITY MASTER DATA (EMD).,0;;;
All equity master data is managed and maintained by the JSE's Listings Division.,0;;;
The JSE's Market Information Division also maintains and issues ISINs for bonds, as a service to BESA, in the mainframe programme GILT MASTER DATA (MDGL), which is a manual process.,0;;;
The scope of this project is to provide an electronic method to enable the MMF participants via STRATE to create, amend and delete ISIN codes for money market instruments.,0;;;
This document sets out the business requirements for the issuing of money market instruments ISIN codes by the JSE.,0;;;
The costs will be forwarded to STRATE for their review and approval and only thereafter, subject to NMPG approval of the SWIFT messages to be used and message content, will design and development start taking place.,0;;;
(Note: -Due to unforeseen complications, the design and development has been completed prior to the costs being approved by STRATE.,0;;;
5. Business Requirements 5.1 Current Business Environment Money market instruments are normally traded and settled on the same business day (T+0).,0;;;
Settlement is on a gross physical basis between seller and buyer.,0;;;
The majority of activity in the money market is undertaken in the primary market (i.e.,1;;;
between issuer and buyer) and the typical participants in this market are registered banks.,0;;;
The Objectives of the Electronic Money Market are as follows: - ? Reduce the identified risks associated with Money Market practices.,0;;;
? Improve liquidity in the Money Market.,0;;;
? Improve the tradability of the instruments in the secondary market.,1;;;
? Reduce the inherent costs in Money Market processes.,1;;;
? Improve the marketability of instruments, creating a competitive benefit for an institution trading in Money Market instruments.,1;;;
? Align South African market practices and procedures with world best practices.,1;;;
? Improve the integrity of the Money Market creating an environment that is safe, secure, structured, formalised and robust.,1;;;
The MMF estimates an issuance requirement of approximately 200 to 500 ISINs per day.,1;;;
To distinguish money market instruments ISINs from equities (ZAE) and bonds (ZAG) the MMF has requested the use of an ISIN prefix of ZAM.,0;;;
The automated ISIN Issuance for Money Market Instruments system will be implemented by the JSE in the 2nd quarter 2004.,0;;;
The following assumptions have been made: ? The Custodian and Banker components are incorporated into one entity - CSDP.,0;;;
? The Trading component refers to either a system (Trading or Reporting Engine) or the act of reaching a contractual agreement (i.e.,0;;;
The JSE?s ASD department will be required to develop a programme for the automatic issuance of ISINs for money market instruments.,0;;;
"This will include a programme to ""unstring"" the MT 598 User Defined SWIFT messages and ?string? the MT 598 User Defined SWIFT messages, as detailed in Appendix B to K, for the request and notification of ISINs by/to STRATE.,0";;;
To differentiate between the JSEs current SWIFT BIC codes and ensure correct routing and message identification the JSE will apply for a new branch code ?ISN? as an extension of their current BIC address.,1;;;
5.3.3 Service Level Agreement The JSE and STRATE will enter into a Service Level Agreement (SLA) that sets out all the arrangements pertaining to the service provided by the JSE and will include a Business Continuity Plan(BCP).,1;;;
This will be made available to money market participants for their perusal and reference.,0;;;
Category 2: Yield based, fixed coupon rate and fixed term, where the MMI is bought at nominal value, the coupon is payable at intervals (i.e.,0;;;
Coupon Interval) throughout the term, and the final coupon payment and the nominal value are repayable on maturity.,1;;;
Category 3: Yield based, variable coupon rate and fixed term where the MMI is bought at nominal value, coupon is payable at intervals (i.e.,1;;;
Coupon Interval) throughout the term, and the final coupon payment and the nominal value are repayable on maturity.,0;;;
Category 4: Yield based, variable coupon rate and variable term where the MMI is bought at nominal value, coupon is payable at intervals (i.e.,1;;;
Coupon Interval) throughout the term, the nominal value and coupon for the last interest period are repayable on maturity and the instrument matures on call.,0;;;
These generic characteristics together with the approved the MT 598 User Defined SWIFT messages formats and contents will determine the fields required in the Money Market ISIN Issuance programme.,0;;;
The table below sets out per generic money market instrument: - ? The data required to be held per MMI by the NNA; and ? The definitive characteristics (i.e.,0;;
the unique combination of characteristics) required for the issuance of ISINs.,0;;;
:- Data Required Definitive Characteristics for ISIN Generation per Generic Category Message Type Message Initiator Message Recipients Details.,0;;;
1 Request New STRATE JSE Request for issuance of new ISIN.,0;;;
2 Reject New JSE STRATE Reject request ? duplication (DUPL) or invalid2/incomplete (INVL) request.,1;;;
3 Accept New JSE STRATE Accept request for new ISIN and include ISIN in message.,1;;;
4 Request Cancellation STRATE JSE Request for cancellation of existing ISIN.,1;;;
5 Reject Cancellation JSE STRATE Reject request ? duplication (DUPL) or invalid/incomplete (INVL) request.,1;;;
6 Accept Cancellation JSE STRATE Accept request for cancellation of ISIN and include confirmation of cancellation in message.,1;;;
7 Request Deregistration STRATE JSE Request to deregister an ISIN for an instrument that has matured.,1;;;
8 Reject Deregistration JSE STRATE Deregistration request rejected.,1;;;
9 Accept Deregistration JSE STRATE Accept request to deregister an ISIN for an instrument that has matured, and include confirmation of deregistration in message.,1;;;
Refer Appendix A for the process flows of the above messages.,1;;;
Refer Appendix B to K for fields and contents of the MT 598 User Defined SWIFT messages.,0;;;
Cost Recovery All costs for the design, development, testing and implementation of the automatic Money Market ISIN Issuance system will be recovered from STRATE.,0;;;
In addition, a monthly running cost, covering the cost of administration and maintenance of the data and systems will be recovered from STRATE.,0;;;
The monthly running costs and billing methodology will require definition, by the JSE, in the SLA.,0;;;
Invoicing will be conducted by the JSE's Finance Division.,0;;;
Glossary AM Application Management.,0;;;
ANNA Association of National Numbering Agencies.,1;;;
BESA Bond Exchange of South Africa.,1;;;
BCP Business Continuity Plan.,1;;;
BIC Bank Identifier Code.,1;;;
BKE Bilateral Key Exchange.,1;;;
CREST United Kingdom CSD.,1;;;
CSD Central Securities Depository.,1;;;
CSDP Central Securities Depository Participant.,1;;;
IOR Instrument Ownership Register.,1;;;
ISIN International Securities Identification Number designed by the International Organisation for Standardization (ISO) and advocated by G30.,1;;;
ISO International Organisation for Standardization.,0;;;
JSE JSE Securities Exchange South Africa.,1;;;
MMF Money Market Forum, a body representing the participants in the South African money market.,1;;;
MMI Money Market Instrument.,1;;;
NMPG National Market Practice Group.,0;;;
NNA National Numbering Agent.,1;;;
SAFIRES Southern Africa Financial Instrument Real-time Electronic Settlement system.,0;;;
SLA Service Level Agreement.,0;;;
STRATE STRATE LTD SWIFT Society for Worldwide Interbank Financial Telecommunication.,0;;;
UNEXcor Universal Exchange Corporation.,0;;;
Sign-Off All parties signing this document acknowledge that they have read, understood and are committed to this document, including all attached schedules and diagrams.,0;;;
Name: Des Davidson Name: Brett Kotze Designation: Designation: Project Role: Project Sponsor Project Role: Project Owner Signature: 1.,0;;;
MMI Issue Request to NNA (MT598-150 ? NEWM).,0;;;
MMI Issue Request Rejection from NNA (MT598-901/MT598-902).,1;;;
MMI Issue Confirmation from NNA (MT598-151 ? NEWM).,1;;;
MMI Issue Confirmation Rejection to NNA (MT598-901/MT598-902).,1;;;
MMI Cancellation/De-issue Request to NNA (MT598-150 ? NEWM).,1;;;
MMI Cancellation/De-issue Request Rejection from NNA (MT598-901/MT598-902).,0;;;
MMI Cancellation/De-issue Confirmation from NNA (MT598-151 ? NEWM).,0;;;
MMI Cancellation/De-issue Confirmation Rejection to NNA (MT598-901/MT598-902).,0;;;
MMI Cancellation Request to NNA on maturity of instrument (MT598-150 ? MATU).,1;;;
MMI Cancellation Request Rejection from NNA (MT598-901/MT598-902).,1;;;
Appendix B ISIN Request to NNA.,0;;;
11.1 ISIN Request to NNA (MT598-150-NEWM).,0;;;
The MMI Engine will forward the validated MMI Issue Request (MT598-150 ? NEWM) to NNA.,0;;;
The layout of the MT598-150 is given below: Format Specifications Sl.,1;;;
No Tag Qualifier Name M/O Options 1.,0;;;
20 Transaction Reference M 16x 2.,0;;;
12 Sub-Message Type M 3!n Valid Value is: 150 3.,0;;;
77E Proprietary Message M. Mandatory Sequence A General Information 4.,0;;;
16R Start of block - General.,0;;;
23G Function of the message M 4!c Values: NEWM ? New message.,0;;;
98C PREP Preparation date and time O //8!n6!n 8.,0;;;
16S End of block - General M GENL End of Sequence A General Information Mandatory Sequence B MMI Details .,0;;;
16R Start of block - Financial instrument attributes M FIA 14.,0;;;
22F PFRE Coupon Payment Frequency (Mandatory for category 2/3/4) C /STRA/4!c See Field Descriptions.,0;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
The valid value is: ? 150 ? ISIN Request.,0;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,0;;;
This should not have any contents.,1;;;
Start of GENL block (M): This field identifies the start of General block and it should have a value of GENL.,0;;;
Function of the message (M): This field identifies the function of the message.,1;;;
The valid value is: ? NEWM ? For new message.,1;;;
Preparation date and time (O): This field gives the preparation date and time of the message.,0;;;
Type of instruction indicator (M): This field identifies the instruction indicator.,1;;;
The valid value is: ? ISSU ?ISIN Issue Request.,1;;;
End of GENL block (M): This field identifies the end of General block and it should have a value of GENL.,0;;;
Start of MMID block (M): This field identifies the start of the MMI Details block and it should have a value of MMID.,1;;;
Issuer's Participant Code (M): This field identifies the Participant Code of the Issuer.,1;;;
Identification of securities (M): This field identifies the ISIN information.,1;;;
? Sub-field 1 should not be present ? Sub-field 2 is Mandatory 12.,0;;;
Quantity Issued (M): This field identifies the Issued amount of a financial instrument.,0;;;
Start of FIA block (M): This field identifies the start of the Financial Instrument Attributes block and should have a value of FIA.,0;;;
Coupon Payment Frequency (C):This field identifies the Payment Frequency of the MMI.,0;;;
The valid values are: ? ANNU ? Annually Payment Cycle ? MNTH ? Monthly Payment Cycle ? QUTR ? Quarterly Payment Cycle ? SEMI ? Half Yearly Payment Cycle ? TERM ? On Maturity of the MMI 15.,0;;;
Coupon Payment Day (C): This field identifies the Coupon Payment Day of the MMI.,0;;;
Generic Category (M): This field identifies the Generic Category of the instrument.,0;;;
The valid values are: 1 ? Generic Category 1 2 ? Generic Category 2 3 ? Generic Category 3 4 ? Generic Category 4 17.,0;;;
MMI Type (M): This field identifies the MMI Type.,0;;;
The valid values are: Bills EBL Commercial Paper Bills/Capital Project Bills.,0;;;
EPN Treasury Bills.,0;;;
ETB Bridging Bonds.,1;;;
BB Debentures.,0;;;
DEB Negotiable Certificates of Deposit.,0;;;
NCD NCD NCD Linked Negotiable Certificates of Deposit.,0;;;
LNCD Credit Linked Notes.,0;;;
CLN Floating Rate Notes.,0;;;
FRN Call Bonds.,0;;;
CB Zero Bonds.,0;;;
ZB Note: This field requires 4 alpha characters to be present.,0;;;
Where the MMI Type is less than 4 alpha characters, the spaces after the MMI Type must be filled with ?X?s?.,0;;;
For example, NOT will be NOTX, ZB will be ZBXX, etc.. 18.,0;;;
Maturity date (C): This field identifies the maturity date of a financial instrument.,1;;;
Issue date (M): This field identifies the issue date of a financial instrument.,1;;;
Coupon Rate (C): This field identifies the Coupon Rate of a financial instrument.,1;;;
It is optional for Category 1 but mandatory for Categories 2, 3 and 4, (7,7 Decimals) 21.,1;;;
End of FIA block (M): This field identifies the end of the Financial Instrument Attributes block and should have a value of FIA.,1;;;
End of MMID block (M): This field identifies the end of the MMI Details block and should have a value of MMID.,1;;;
Appendix C ISIN Request Rejection from NNA 12.1 ISIN Request Rejection from NNA (MT598-901/598-902) The rejection from NNA can be of two types: Format Rejection (MT598-901).,1;;;
Message Content Rejection (MT598-902).,0;;;
12.2 Format Rejection ? MT598-901 On receipt of the message (MT598-150-NEWM) from the MMI Engine, NNA will perform basic validations.,0;;;
If the format of the message is not as per the ?Interface Specification ? Volume A?, then NNA will generate a rejection message (MT598-901) to the MMI Engine.,0;;;
The layout of the MT598-901 is given below: 1.,0;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
Sub-message Type (M): This field identifies the sub-message type involved in the proprietary message.,1;;;
The valid value is: ? 901 ? NOK Message.,1;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,0;;;
This should not have any contents.,0;;;
Narrative (M): This field identifies the error code and the corresponding tag name.,0;;;
The format is: ? 4!n/3c ? Sub-field1 indicates the error code and sub-field 2 indicates the tag name.,0;;;
(This can be repeatable 5times)(The error codes are still to be defined between the IOR and the NNA) 5.,0;;;
Date and Time (M): This field gives the preparation date and time of the message.,0;;;
Related Reference (M): This field identifies the Transaction reference (tag 20) of the original message.,1;;;
12.3 Message Content Rejection ? MT598-902 On receipt of the message (MT598-150-NEWM) from the MMI Engine, NNA will perform basic validations.,0;;;
If the validation is not successful, then NNA will generate a rejection message (MT598-902) to the MMI Engine.,0;;;
The layout of the MT598-902 is given below: 1.,0;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
Sub-message Type (M): This field identifies the sub-message type involved in the proprietary message.,0;;;
The valid value is: ? 902 ? Rejection Message.,0;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,0;;;
This should not have any contents.,1;;;
Related Reference (M): This field identifies the transaction reference of the original message.,0;;;
Error Details (M): This field identifies the validation error details.,1;;;
The error code will be of the format 4!n and maximum of 5 error codes can be accommodated in the message.,1;;;
(The error codes are still to be defined between the IOR and the NNA) 7.,0;;;
End of GENL block (M): This field identifies the end of the General block and it should have a value of GENL.,0;;;
Appendix D Confirmation of ISIN by NNA 13.1 ISIN Confirmation from NNA (MT598-151) 1.,1;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
Sub-message Type (M): This field identifies the sub-message type involved in the proprietary message.,1;;;
The valid value is: ? 151 ? ISIN Confirmation 3.,1;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,1;;;
This should not have any contents.,1;;;
Start of GENL block (M): This field identifies the start of GENL block and it should have a value of GENL.,0;;;
Function of the message (M): This field identifies the function of the message.,1;;;
The valid value is: ? NEWM ? For new message.,1;;;
Preparation date and time (O): This field gives the preparation date and time of the message.,1;;;
Type of confirmation indicator (M): This field identifies the instruction indicator.,1;;;
The valid value is: ? ISSU ?ISIN Issue Request.,1;;;
Start of link block (M): This field identifies the start of linkage block and it should have a value of LINK.,0;;;
This block is mandatory for ISIN Confirmation 9.,1;;;
Number Identification (M): This field identifies the Sub-Message Type of the linked transaction.,0;;;
The valid value is 150.,1;;;
Related Reference (M): This field identifies the transaction reference of the original message.,0;;;
End of link block (M): This field identifies the end of linkage block and it should have a value of LINK.,1;;;
End of GENL block (M): This field identifies the end of GENL block and it should have a value of GENL.,1;;;
Start of MMID block (M): This field identifies the start of the MMI Details block and it should have a value of MMID.,1;;;
This should match with the original MT598-150 sent by STRATE.,1;;;
Identification of securities (M): This field identifies the ISIN information.,0;;;
? Sub-field 1 is Mandatory, and will contain the newly assigned ISIN.,1;;;
? Sub-field 2, if present, must match with the original MT598-150.,0;;;
Quantity Issued (M): This field identifies the Issued amount of a financial instrument.,0;;;
This should match with the original MT598-150 sent by STRATE.,1;;;
(Down to 3 Decimals) 17.,0;;;
Start of FIA block (M): This field identifies financial instrument attributes block and should have a value of FIA.,0;;;
Coupon Payment Frequency (C): This field identifies the Payment Frequency of the MMI.,1;;;
Coupon Payment Day (C): This field identifies the Coupon Payment Day of the MMI.,1;;;
The valid values are 01-31 (Mandatory for Category 2/3/4) (If present, this should match with the original MT598-150 sent by STRATE) 20.,1;;;
Generic Category (M): This field identifies the Generic Category of the instrument.,0;;;
Maturity date (C): This field identifies the maturity date of a financial instrument.,1;;;
If present, this should match with the original MT598-150 sent by STRATE.,1;;;
Issue date (M): This field identifies the date of issue of a financial instrument.,0;;;
If present, this should match with the original MT598-150 sent by STRATE 24.,1;;;
Coupon Rate (C): This field identifies the Coupon Rate of a financial instrument.,0;;;
It is optional for Category 1 but mandatory for Categories 2, 3 and 4.,1;;;
If present, this should match with the original MT598-150 sent by STRATE.,0;;;
End of FIA block (M): This field identifies the end of financial instrument attributes block and should have a value of FIA.,0;;;
End of MMID block (M): This field identifies the end of the MMI Details block and should have a value of MMID.,0;;;
Appendix E ISIN Confirmation Rejection from STRATE 14.1 ISIN Confirmation Rejection from STRATE The rejection from STRATE can be of two types: Format Rejection (MT598-901).,1;;;
Message Content Rejection (MT598-902).,0;;;
14.2 Format Rejection ? MT598-901 On receipt of the message (MT598-151) from NNA, STRATE will perform basic validations.,0;;;
If the format of the message is not as per ?Interface Specification ? Volume A?, then STRATE will generate a rejection message (MT598-901) to NNA.,0;;;
The layout of the MT598-901 is given in Appendix C. 14.3 Message Content Rejection ? MT598-902 On receipt of the message (MT598-151) from NNA, STRATE will perform basic validations.,0;;;
If the validation is not successful, then STRATE will generate a rejection message (MT598-902) to NNA.,0;;;
The layout of the MT598-902 is given in Appendix C. 15.,0;;;
Appendix F Request for Cancellation/De-issue of ISIN 15.1 ISIN Cancellation / De-Issue Request to NNA (MT598-150) The MMI Engine will forward the validated MMI Cancellation / De-Issue Request (MT598-150) to NNA.,0;;;
The layout of the MT598-150 for MMI Cancellation / De-Issue is given below: Format Specifications 1.,0;;;
Transaction reference (M): This field identifies the transaction reference of the message.,1;;;
Sub-message Type (M): This field identifies the sub-message type involved in the proprietary message.,1;;;
The valid value is: ? 150 ? ISIN Cancellation / De-Issue Request 3.,0;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,1;;;
This should not have any contents.,0;;;
Start of GENL block (M): This field identifies the start of GENL block and it should have a value of GENL.,0;;;
The valid value is: ? NEWM ? New Message.,0;;;
Preparation date and time (O): This field gives the preparation date and time of the message.,1;;;
Type of instruction indicator (M): This field identifies the instruction indicator.,1;;;
The valid value is: ? DISS ?De-Issue of ISIN.,1;;;
End of GENL block (M): This field identifies the end of GENL block and it should have a value of GENL.,0;;;
Start of MMID block (M): This field identifies the start of the MMI Details block and it should have a value of MMID.,1;;;
Issuer's Participant Code (M): This field identifies the Participant Code of the Issuer.,1;;;
Identification of securities (M): This field identifies the ISIN information.,1;;;
Quantity Cancelled / De-Issued (M): This field identifies the cancelled / De-Issued amount of a financial instrument.,1;;;
(To match with the original default amount notified by STRATE)(Down to 3 Decimals) 13.,1;;;
End of MMID block (M): This field identifies the end of the MMI Details block and should have a value of MMID.,0;;;
Appendix G ISIN Cancellation/De-issue Request Rejection from NNA 16.1 ISIN Cancellation Request Rejection from NNA The rejection from NNA can be of two types: Format Rejection (MT598-901).,1;;;
Message Content Rejection (MT598-902).,0;;;
16.2 Format Rejection ? MT598-901 On receipt of the message (MT598-150) from STRATE, NNA will perform basic validations.,0;;;
If the format of the message is not as per ?Interface Specification ? Volume A?, then NNA will generate a rejection message (MT598-901) to STRATE.,0;;;
The layout of the MT598-901 is given in Appendix C. 16.3 Message Content Rejection ? MT598-902 On receipt of the message (MT598-150) from STRATE, NNA will perform basic validations.,0;;;
If the validation is not successful, then NNA will generate a rejection message (MT598-902) to STRATE.,0;;;
The layout of the MT598-902 is given in Appendix C. 17.,0;;;
Appendix H ISIN Cancellation/De-issue Confirmation from NNA 17.1 ISIN Cancellation/De-issue Confirmation from NNA On receipt of the message (MT598-150) from the MMI Engine, NNA will perform the basic validations.,0;;;
If the validation is successful, then NNA will cancel the ISIN in question and generate an ISIN Cancellation Confirmation message (MT598-151) to the MMI Engine.,0;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
Sub-message Type (M): This field identifies the sub-message type involved in the proprietary message.,1;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,0;;;
This should not have any contents.,1;;;
Start of GENL block (M): This field identifies the start of GENL block and it should have a value of GENL.,0;;;
Function of the message (M): This field identifies the function of the message.,1;;;
The valid value is: ? NEWM ? New Message.,0;;;
Preparation date and time (O): This field gives the preparation date and time of the message.,1;;;
Type of confirmation indicator (M): This field identifies the instruction indicator.,1;;;
The valid value is: ? DISS ? De-Issue.,1;;;
Start of link block (M): This field identifies the start of linkage block and it should have a value of LINK.,0;;;
This block is mandatory for ISIN Cancellation.,1;;;
Number Identification (M): This field identifies the Sub-Message Type of the linked transaction.,0;;;
Related Reference (M): This field identifies the transaction reference of the original message.,1;;;
End of link block (M): This field identifies the end of linkage block and it should have a value of LINK.,0;;;
End of GENL block (M): This field identifies the end of GENL block and it should have a value of GENL.,1;;;
Start of MMID block (M): This field identifies the start of the MMI Details block and it should have a value of MMID.,0;;;
Issuer's Participant Code (M): This field identifies the Participant Code of the Issuer.,1;;;
Identification of securities (M): This field identifies the ISIN information.,0;;;
Quantity Cancelled / De-Issued (M): This field identifies the Cancelled / De-Issued amount of a financial instrument.,1;;;
This should match with the original MT598-150 sent by STRATE.,0;;;
End of MMID block (M): This field identifies the end of the MMI Details block and should have a value of MMID.,1;;;
Appendix I ISIN Cancellation/De-issue Confirmation Rejection from STRATE 18.1 ISIN Cancellation Confirmation Rejection from STRATE The rejection from STRATE can be of two types: Format Rejection (MT598-901).,0;;;
If the format of the message is not as per ?Interface Specification ? Volume A?, then STRATE will generate a rejection message (MT598-901) to NNA.,1;;;
The layout of the MT598-901 is given in Appendix C. 18.3 Message Content Rejection ? MT598-902 On receipt of the message (MT598-151) from NNA, STRATE will perform basic validations.,1;;;
If the validation is not successful, then STRATE will generate a rejection message (MT598-902) to NNA.,1;;;
The layout of the MT598-902 is given in Appendix C. 19.,0;;;
Appendix J Request for Cancellation of ISIN on Maturity 19.1 ISIN Cancellation on Maturity to NNA (MT598-150) On Maturity Date, the MMI Engine will generate a MMI Cancellation Request (MT598-150) to NNA.,1;;;
The layout of the MT598-150 for MMI Cancellation on Maturity is given below: 1.,1;;;
Transaction reference (M): This field identifies the transaction reference of the message.,0;;;
The valid value is: ? 150 ? ISIN Cancellation Request on Maturity 3.,0;;;
Proprietary Message (M): This field identifies that this is a proprietary message.,0;;;
This should not have any contents.,1;;;
Start of GENL block (M): This field identifies the start of GENL block and it should have a value of GENL.,0;;;
Function of the message (M): This field identifies the function of the message.,1;;;
The valid value is: ? NEWM ? New Message.,1;;;
Preparation date and time (O): This field gives the preparation date and time of the message.,1;;;
Type of instruction indicator (M): This field identifies the instruction indicator.,1;;;
The valid value is: ? MATU ? Maturity of ISIN.,1;;;
End of GENL block (M): This field identifies the end of GENL block and it should have a value of GENL.,0;;;
Start of MMID block (M): This field identifies the start of the MMI Details block and it should have a value of MMID.,1;;;
Issuer's Participant Code (M): This field identifies the Participant Code of the Issuer.,1;;;
Identification of securities (M): This field identifies the ISIN information.,1;;;
Quantity Issued (M): This field identifies the Issued amount of a financial instrument.,1;;;
(To match with the original default amount notified by STRATE)(Down to 3 Decimals) 13.,0;;;
End of MMID block (M): This field identifies the end of the MMI Details block and should have a value of MMID.,0;;;
Appendix K ISIN Cancellation on Maturity Rejection from NNA 20.1 ISIN Cancellation on Maturity Rejection from NNA The rejection from NNA can be of two types: Format Rejection (MT598-901).,0;;;
Message Content Rejection (MT598-902).,0;;;
20.2 Format Rejection ? MT598-901 On receipt of the message (MT598-150) from STRATE, NNA will perform basic validations.,0;;;
If the format of the message is not as per ?Interface Specification ? Volume A?, then NNA will generate a rejection message (MT598-901) to STRATE.,0;;;
The layout of the MT598-901 is given in Appendix C. 20.3 Message Content Rejection ? MT598-902 On receipt of the message (MT598-150) from STRATE, NNA will perform basic validations.,0;;;
If the validation is not successful, then NNA will generate a rejection message (MT598-902) to STRATE.,0;;;
The layout of the MT598-902 is given in Appendix C. 21.,0;;;
Refer my previous e-mail to STRATE.,0;;;
21.3 Rejections JSE to STRATE A screen which reflects the rejections from the JSE to STRATE for the previous day.,0;;;
21.4 Rejections STRATE to JSE A screen which reflects the rejections from STRATE to the JSE for the previous day.,0;;;
Tarrant County Integrated Justice Information System.,0;;;
Manage Indigent Defense Services.,0;;;
Software Requirements Specification.,0;;;
The Integrated Justice Information System (IJIS) is an initiative being undertaken by Tarrant County, Texas.,0;;;
The vision for IJIS is to define and develop enhanced business processes and supporting technology solutions that result in a more effective and efficient administration of justice in Tarrant County.,0;;;
When complete, IJIS will facilitate rapid sharing of information across the Criminal Justice Community while providing each stakeholder with advanced justice management capabilities.,0;;;
The goal of the current phase of the initiative is to define IJIS business requirements shared by the Criminal Justice Community.,0;;;
To reach agreement on the business requirements, a three-stage approach will be been used: 1.,0;;;
A baseline of use cases has been prepared to provide a starting point for discussions with the Criminal Justice Community.,0;;;
The baseline represents a compilation of requirements identified during review of background materials obtained from various sources.,0;;;
Workshops will be held to collect requirements from the Criminal Justice Community.,0;;;
The baseline requirements, documented here, will be reviewed, and requirements added, removed and refined.,0;;;
The material provided during the workshops will be consolidated into a single model, and reviewed at a final workshop with representatives from the Criminal Justice Community.,0;;;
